Dimension,Dimension Label,Statement,Unhelpful Thoughts (CBT_Stage1),Unhelpful Thoughts Label,Challenge (CBT_Stage2),Challenge Label,Another Way (CBT_Stage3),Another Way Label
Managing mood,2_mood,I feel very depressed. I can't do anything.,I don't know why but I'm just depressed.,1,I really can't think of any reasons.,1,It's pobably not a big deal. I will stay depressed.,1
Taking medication as prescribed,3_medication,I always forget to take my medications. I don't feel its effect anyway.,"After the take the medications, I don't feel like I'm getting better, so I don't remember taking it. Will it actually help me?",0,How do I know that the medications doesn't work? Is feeling the correct way to assess its effectiveness? ,0,The medications are probably working and it just takes more time to feel the effect. Maybe me not taking it regularly is acutally the reason that its not working.,0
Taking medication as prescribed,3_medication,I don't want to take any medications. I don't know what they would do to me.,I don't know what's in the pills. Are they really helping me? I think the doctors are making me take it for no good reason. It might actually be harmful for me.,0,Have I done any research about the content of the pills? Is there any reason that the doctor does not want to help me?,0,I should trust the doctors and take the medications on time. I can also do some research my self and consult more professionals.,0
Taking medication as prescribed,3_medication,I don't want to take any medications. I don't trust them.,I've heard that doctors just want to sell you the pills. They don't really care if I get better. I don't trust what they give me.,0,I don't know how I can prove that that the medications work. Most people don't get better anyways.,1,I will just get better by myself. Taking the medication is a pain.,1
Taking medication as prescribed,3_medication,I take medications when I feel like it. I skip some days if I'm feeling alright.,I might take some when I feel down. Why would I take it when I feel good?,0,How do I know that the medications will have the same effect if I don't take it as prescribed. ,0,"Since I haven't tried to take it regularly, I should try it and then decide whether I need a different treatment.",0
Participating primary and mental health care,4_care,I did not see my therapist consistently. I don't think they help me.,I felt better for a day or two and then became stressed out again. I think going to these sessions only have a shorterm effect and they are not real.,0,Perhaps the effect is not shorterm and I just have wait it out. Maybe other people can see that I got better but I don't feel the difference as much.,0,"The shorterm effect could be important for me too, and the long term effect is just happening slowly and I need more time to see it.",0
Participating primary and mental health care,4_care,I did not see my therapist consistently. I don't think they help me.,Therapists just say things that I want to hear at the moment. They don't care if it treats me.,0,I think seeing them consistently is not gonna help me.,1,I don't want to do these sessions anymore.,1
Participating primary and mental health care,4_care,"I'm way too busy and stressed out lately, I have no time to see my therapist. There's just too many things on top of my mind.",When I'm stressed I think going to therapist is going to waste too much of my time. I could be using this time to do more things. ,0,Maybe going to therapist is not a waste of time. It might not even take that long. I can still finish other things.,0,Going to therapist regularly can help my stress. I might become more efficient and feel better.,0
Participating primary and mental health care,4_care,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,I think its a hassle to have to go to doctor's. So I always try to do it later and ends up never doing it.,0,Scheduling an appointment might not be that hard. There could be other ways to setup a regular schedule and have someone remind me.,0,I can express my need to the doctor and we might be able to setup something that is easy for me and also remind me beforehand.,0
Participating primary and mental health care,4_care,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,I think its a hassle to have to go to doctor's. So I always try to do it later and ends up never doing it.,0,Scheduling an appointment might not be that hard. There could be other ways to setup a regular schedule and have someone remind me.,0,"I guess making an appoinment isn't that much trouble, but I still don't want to go.",1
Organizing personal possessions & doing housework,5_house,I don't organize my house that often. I'm too lazy to do it.,I piled too much things up and now it takes a lot of effort to organize them all. So I always tell myself that I will do it next week.,0,Why did I pile things up in the first place? Do I have to organize them all at once? ,0,I can organize thing at small batches. That way it doesn't take too much effort or time. I can also not add to the pile.,0
Organizing personal possessions & doing housework,5_house,I can't be bothered to clean my house. It's not like that's gonna kill me.,I don't know why I need to clean my house. I think I can lively normally in a messy room.,0,Are there some advantages to have a clean room? Are there troubles I'm facing for not cleaning it?,0,I did enjoy the house clean at first. A cleaner room will cause less bugs or bacteria to form. I can find things more easily in a clean house.,0
Organizing personal possessions & doing housework,5_house,"I want to clean my apartment once a week, but I'm hardly doing it.","Sometimes I tell myself that the apartment looks alright and I can just do it the week after, but it gets a whole lot messier and I don't know where to begin the next week and end up not doing it.",0,Is it ok to not do it because it doesn't look messy? Would it be easier for me overall just to do it regularly?,0,I still don't think I can do it regulalry. I can't find the motivation to do it when it doesn't look that bad.,1
Organizing personal possessions & doing housework,5_house,I awlays pile my trash up. I think it just doesn't bother me.,I find nothing wrong with piling up trash. I can eventually take it out when it start to bother me too much.,0,"Would it bother other people that come visit me? Doesn't it consistently annoys me, even just a little? Is there any specific and logical reason that I pile up trash?",0,"Even if it doesn't bother me too much, it might bother someone else, and not piling trash isn't that hard to do so I might try something first. ",0
Talking to other people,6_talk,I don't like to talk to other people. I always start an argument.,I tend to argue with people if they don't agrree with me. So after getting angry many times I just stop talking to other people.,0,People don't agree with each other all the time and they still talk. Why did I heat the conversation anyways?,0,"Even if I do argue, we can have an intelligent discussion and maintain our good relations. And I also don't need to argue with everything I disagree with.",0
Talking to other people,6_talk,I find it very tiring to talk to other people. I have to care about what they think.,I'm afraid people will get mad at me for something I say. So I have to be very careful with what i say and that put a lot of stress in my mind.,0,Will people get mad that easily? Is it really my fault that people gets mad at what I say? Can I find other people to talk to?,0,"I can talk to friends that I know I won't easily offend, or someone who is comfortable with me. Even if I say something wrong, I can just correct my wording or apologize. ",0
Talking to other people,6_talk,I don't have anyone to talk to. No one really finds me to talk.,"If no one want to talk to me, then I'm fine that way.",1,There really nothing I can do.,1,I guess I just have to live like this.,1
Talking to other people,6_talk,"I don't know what to talk about with others, so I just don't talk to anyone.","I must always have something profound or interesting to say, or else I think other people will get bored and stop being friends with me.",0,Is every conversation meant to be profound or interesting? Aren't casual and light-hearted exchanges about non-exciting daily lives also valuable for building relationships?,0,"It's okay to engage in simple, casual conversations. These moments can also strengthen bonds and create a comfortable space for everyone.",0
Talking to other people,6_talk,"I don't know what to talk about with others, so I just don't talk to anyone.","I must always have something profound or interesting to say, or else I think other people will get bored and stop being friends with me.",0,There is no way around that. I'm just not an interesting person.,1,Maybe not talking to anyone is ok for me.,1
Talking to other people,6_talk,"I'm afraid I might say something out of place in a conversation, that's why I never start a conversation.","I like to say whatever's on top of my head, and people might not like that. If I don't start the conversation, then I'm less likely to talk about something thats wrong for the current context.",0,Is there any reason that saying something out of place is unacceptable? Do others not talk about things that are out of place? ,0,"It's ok to start a conversation and talk about something I'm thinking. Even if I did say something wrong, others might not even be concerned about it.",0
Expressing feelings to other people,7_emo,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,"I worry that if I show my true feelings, people will judge me or think less of me. I believe that keeping my emotions to myself is safer and prevents me from being vulnerable to others' opinions or potential rejection.",0,"Is there evidence that expressing my feelings will always lead to negative judgments or rejection? Could there be benefits to opening up that I'm not considering, like deepening relationships or receiving support?",0,"Expressing my feelings honestly might actually lead to stronger, more authentic connections with others. Everyone has vulnerabilities, and sharing mine could encourage others to open up too, leading to mutual understanding and support.",0
Expressing feelings to other people,7_emo,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,I don't have that much emotions anyways.,1,"Is there evidence that expressing my feelings will always lead to negative judgments or rejection? Could there be benefits to opening up that I'm not considering, like deepening relationships or receiving support?",0,"Still, I don't feel the need to express my feelings.",1
Expressing feelings to other people,7_emo,I want to express my feelings to other people but I don't know how to do it correctly.,"I'm afraid that if I try to express my feelings, I'll do it wrong and people will misunderstand me or get upset. This fear makes me hold back, even when I really want to share what's on my mind.",0,"Is there a perfect way to express feelings, or is it more about the effort and intention behind the communication? Could my fear of doing it wrong be preventing me from the opportunity to learn and improve through practice?",0,Expressing feelings is a skill that improves with practice and there's no single right way to do it. It's important to be genuine and considerate in my approach.,0
Expressing feelings to other people,7_emo,I don't express my feelings to others because I think that will make me vulnerable. I want to portray myself as a strong individual.,"I believe showing my feelings to others exposes me to potential harm or exploitation. I fear that vulnerability is a weakness that others might use against me, leading me to keep my emotions closely guarded.",0,"Is vulnerability truly a weakness, or can it be a strength that leads to closer, more authentic relationships? Have there been instances where others' openness has led me to respect and connect with them more deeply?",0,Being vulnerable by expressing my feelings can actually strengthen relationships and build trust. It shows I'm human and allows others to relate to me on a deeper level. Embracing vulnerability can be empowering and lead to greater emotional support and connections.,0
Expressing feelings to other people,7_emo,I don't see the reason to express my feelings to others. I'm fine keeping them to myself.,I believe that keeping my feelings to myself is the best way to maintain control and avoid unnecessary complications. Sharing my emotions seems like it would only lead to judgment or discomfort.,0,"Could there be benefits to sharing my feelings that I'm overlooking, such as deepening connections or gaining different perspectives? Might keeping everything to myself limit the support and understanding I could receive from others?",0,Expressing my feelings isn't just about seeking help or unloading. It's also about allowing others to understand me better and fostering mutual trust. It can lead to more meaningful relationships and a stronger support network.,0
Managing personal safety,8_safe,"When making decisions, I don't usually put safety as a concern. There are others things that I think about first and then I often ignore safety.",I tend to believe that prioritizing safety makes decisions less effective or limits opportunities. I might think that being overly cautious is a sign of weakness or indecisiveness.,0,Is it possible that integrating safety into decision-making can actually lead to more sustainable and positive outcomes? Could overlooking safety lead to unnecessary risks that might undermine my goals?,0,Considering safety as an integral part of decision making doesn't mean being fearful or overly cautious. It means being responsible and forward-thinking. Balancing safety with other factors can lead to more robust and reliable outcomes.,0
Managing personal safety,8_safe,"I would like to be safe, but I'm not thinking about it that often when making decisions. It's just not something that I would always remember to consider.","I think it's because my life so far has been very safe. I rarely had to worry about my safety and everything worked out fine, so I always consider other things first.",0,Could neglecting safety actually lead to consequences that are dangerous? Might there be a way to incorporate safety without significantly hindering my decision-making process?,0,Integrating safety into my decisions can be a form of self-care and long-term planning. It's about finding a balance that doesn't compromise my well-being for short-term gains. This approach can lead to more sustainable and fulfilling outcomes.,0
Managing personal safety,8_safe,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,"I often think that any risk, no matter how small, is not worth taking, leading me to avoid new experiences or opportunities. This excessive concern for safety makes me believe that staying in my comfort zone is the only way to protect myself.",0,Is my level of worry about safety in proportion to the actual risks involved? Are there opportunities I've missed that had manageable risks or where precautions could have been effectively employed?,0,"Assessing risks more objectively and recognizing that some level of risk is inherent to growth can help me make more balanced decisions. Taking calculated risks, with appropriate safety measures in place, can lead to personal growth and new experiences without compromising my well-being.",0
Managing personal safety,8_safe,I'm always worried about my personal safety and I miss a lot of opportunities because of it.,It's always good to be safe.,1,Why would other people not put their safety first?,1,I guess I could open myself to a little more risks.,1
Managing risk,9_risk,I take a lot of risk. I like the thrill.,"I often equate taking risks with excitement and living life to the fullest, thinking that without constant high-risk challenges, life would be dull. This mindset can lead me to underestimate or ignore potential consequences.",0,Is the thrill I seek from high-risk situations truly worth the potential outcomes? Could there be other ways to find excitement and fulfillment that don't compromise my safety or well-being?,0,"Seeking excitement and challenge is important, but I can find a balance that doesn't put me at unnecessary risk. There are ways to pursue adventure and growth within safer boundaries, ensuring that I enjoy thrilling experiences without endangering myself or others.",0
Managing risk,9_risk,"I feel like taking risk is a necessary part of everyone's life, but sometimes I get frustrated because I cannot control the outcome.","I believe that taking risks is essential for growth, yet it's scary when things don't go as planned. It sometimes feels like, despite my best efforts, the results are out of my hands.",1,Is it possible to embrace the uncertainty that comes with risk without feeling overwhelmed by it? How can I differentiate between taking calculated risks and leaving too much to chance?,0,"Recognizing that some level of uncertainty is inherent in risk-taking, I can focus on making informed decisions. This involves weighing the potential benefits against the risks and accepting that not all outcomes are within my control, but that's part of the growth process.",0
Managing risk,9_risk,I take no risks and that often blocked me to do many important things.,"I tend to avoid risks at all costs, convinced that this is the safest way to live. This mindset, however, seems to prevent me from pursuing opportunities that could be important or beneficial.",0,Could my aversion to risk be limiting my potential more than protecting me? What important experiences or growth opportunities might I be missing out on due to this cautious approach?,0,"Finding a middle ground where I can cautiously evaluate and take on manageable risks could open up new avenues for growth. It's about learning to assess situations more strategically, allowing me to embrace opportunities while still being mindful of potential downsides.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,My sleeping schedule is all over the place. I have trouble falling alseep and waking up.,"I'm stuck with this erratic sleeping pattern, and it feels like no matter what I try, I can't get into a proper rhythm. It's as if my body just won't cooperate, leaving me feeling helpless.",0,"Is this situation truly fixed, or might there be strategies and habits I haven't explored yet? Have I considered all possible factors that could be influencing my sleep, from environment to routine?",0,"Adjusting my sleep schedule might require a combination of tactics, from setting a consistent bedtime to creating a more conducive sleep environment. It's about experimenting with different approaches to find what works best for me.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I find it very difficult to have a nice sleep. I can't fall asleep at night and I am always tired in the morning but I still couldn't sleep.,"It feels like a vicious cycle where no matter how exhausted I am, I just can't seem to fall asleep at night. Then in the next morning, I'm too tired to function but still can't catch any rest. It's as if my body's clock is completely out of sync.",0,"Could there be underlying issues or habits contributing to this sleep dilemma that I haven't fully addressed? What steps can I take to break this cycle, even if they seem small or incremental at first?",0,Exploring a variety of sleep practices and possibly seeking advice from a professional could offer new solutions. Establishing a relaxing pre-sleep routine and ensuring my sleeping environment is optimized for rest could make a significant difference.,0
Following regular schedule for bedtime & sleeping enough,10_sleep,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,"It seems like no matter how much I sleep, it's never enough. I'm constantly battling this overwhelming desire to sleep more, and it feels like my energy levels just aren't in my control.",0,"Is the quantity of sleep the real issue, or could the quality of my sleep be lacking? Are there factors in my lifestyle or health that I haven't considered that might be affecting my energy levels throughout the day?",0,"Assessing my sleep quality and overall health might reveal insights into why I'm feeling this way. Making adjustments to my sleep environment, routine, or even consulting a healthcare professional could help in finding a more balanced approach to my sleep and energy levels.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I feel like I want to sleep too much. I feel tired during the day even when I had a long time to sleep. I can't control myself to keep wanting to sleep.,"It seems like no matter how much I sleep, it's never enough. I'm constantly battling this overwhelming desire to sleep more, and it feels like my energy levels just aren't in my control.",0,"Is the quantity of sleep the real issue, or could the quality of my sleep be lacking? Are there factors in my lifestyle or health that I haven't considered that might be affecting my energy levels throughout the day?",0,I think I can just find more time to sleep more.,1
Maintaining regular schedule for eating,11_eat,"I'm not eating regularly, especially for breakfast and lunch. I always skip them when  I'm busy.","I often think that skipping meals, particularly when I'm swamped, is a necessary sacrifice to manage my workload. It feels like there just aren't enough hours in the day to sit down and eat properly.",0,"Is skipping meals genuinely saving me time, or could it be impacting my productivity and energy levels negatively? Might there be a way to incorporate quick and nutritious meals into my busy schedule?",0,"Planning ahead for busy days by preparing quick, healthy meals or snacks could help ensure I'm fueling my body adequately. Recognizing that nourishment is a crucial part of maintaining productivity might encourage me to prioritize meal times.",0
Maintaining regular schedule for eating,11_eat,"I eat whenever I can't stand the hunger, so I end up eating at very different times.","I feel like my eating habits are dictated by my hunger pangs, leading to irregular meal times. It seems like my schedule is too unpredictable to allow for structured meal times.",0,"Could this reactive approach to eating be less about my schedule's unpredictability and more about not prioritizing meal planning? Might there be a way to introduce some regularity into my eating habits, even with a fluctuating schedule?",0,"Trying to establish a basic routine for meals, even if it's flexible, could help manage my hunger better and lead to more balanced eating habits. ",0
Maintaining regular schedule for eating,11_eat,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,"It feels like my appetite is just naturally low, and trying to eat more than a little at a time turns me off completely. It's like my body just rejects the idea of food once I hit a certain point.",0,Is this feeling of fullness a sign that I need to look more closely at my dietary habits or health? Could there be underlying factors affecting my appetite that I haven't considered?,0,"Exploring smaller, more nutrient-dense meals might be a way to ensure I'm getting enough nutrition without feeling overwhelmed. ",0
Maintaining regular schedule for eating,11_eat,I don't really eat much at all. I'm always feel full even after eating a little and feel disgusted to eat more.,I just don't need to eat more than that.,1,Why would I eat more things when I am not hungry? I can also lose weight because I don't eat much.,1,"Exploring smaller, more nutrient-dense meals might be a way to ensure I'm getting enough nutrition without feeling overwhelmed. ",0
Maintaining regular schedule for eating,11_eat,I eat way too much thing. I just can't stop.,"It feels like once I start eating, I lose all control and just can't help but overeat. I don't feel full at the moment, but I can feel I ate too much afterwards.",0,"Is my overeating truly beyond my control, or are there triggers and habits contributing to this pattern that I can identify and address?",0,"Seeking to understand the emotional or situational triggers that lead to overeating could help me develop healthier coping strategies. Introducing mindful eating practices, setting structured meal times might allow me to establish a more balanced approach to eating.",0
Managing work/school,12_work,I skip a lot of school. It's so boring to be there.,"School just drags on with the same dull routine every day, making me feel like I'm not gaining anything by being there. It seems more appealing to just skip it and do things that actually interest me.",0,Could this boredom be a sign that I need to engage more actively or find new ways to make the learning process more interesting for myself? Are there opportunities within school that I haven't explored yet that could make it more fulfilling?,0,"Looking for aspects of school that align with my interests, such as clubs, sports, or specific subjects, might help make it more engaging. Communicating with teachers about my interests could also lead to more personalized learning opportunities.",0
Managing work/school,12_work,I skip a lot of school. It's so boring to be there.,"School just drags on with the same dull routine every day, making me feel like I'm not gaining anything by being there. It seems more appealing to just skip it and do things that actually interest me.",0,Isn't most of what I learn in school going to be useless for me afterwards anyways?,1,Skipping school is fine. I can have the time to do much more things I like. I wish I didn't have to go.,1
Managing work/school,12_work,I'm not showing up for work on time. I'm always tired out and feel so much pain when going to work.,Every morning feels like a battle just to get out of bed and face the day. The thought of going to work is so daunting that it physically hurts.,0,"Is the exhaustion and pain I'm feeling a sign of deeper issues, like burnout or health concerns, that I haven't fully addressed? What steps can I take to understand and mitigate these feelings?",0,"Identifying the root causes of my tiredness and discomfort could lead to effective solutions, whether that's adjusting my workload, seeking medical advice, or finding strategies to improve my work-life balance.",0
Managing work/school,12_work,I don't like to go to school at all. I'm not doing very well and I don't wanna face it.,"School just feels like a constant reminder of my struggles, and the idea of facing those challenges is overwhelming. It seems easier to avoid it altogether than to deal with the possibility of failure.",0,Could avoiding school be worsening my academic challenges rather than alleviating them? What resources or support might I be missing out on by not facing the situation?,0,"Seeking help and communicating about my difficulties could open up pathways for improvement I hadn't considered. There might be tutors, counseling, or study groups that can provide the support I need to overcome these hurdles and change my perspective on school.",0
Managing work/school,12_work,"I really depends on the day, but I might be not showing up too much. If I wake up and feel tired, then I'm more likely to not go.","My attendance is decided by how I feel each morning. On days when I wake up feeling tired, it feels justified to skip, as if my energy levels dictate my ability to participate or be productive.",0,Is my daily energy level the sole factor I should rely on for important commitments like school or work? Might there be ways to manage my energy more effectively or to motivate myself even on low-energy days?,0,"Establishing a more consistent routine, possibly including better sleep and morning rituals, could help stabilize my energy levels. On days when I'm tired, I could use strategies to boost my motivation, like focusing on the positive impacts of showing up, such as learning something new or moving forward with my goals.",0
Having work-life balance,13_work_life,I have not taken any day off recently. I have class almost everyday and lots of work to do.,"It feels like my schedule is non-stop, and taking a break just isn't an option. There's a constant pressure to keep pushing through, despite feeling run down and overwhelmed.",0,"Is continuously working without a break truly the most effective way to manage my responsibilities, or could it be diminishing my productivity and well-being over time? Might there be benefits to scheduling regular breaks that I'm overlooking?",0,Intentionally planning short breaks and time off could not only prevent burnout but also enhance my focus and efficiency in the long run. It's about finding a sustainable balance between work and rest.,0
Having work-life balance,13_work_life,I have not taken any day off recently. I have class almost everyday and lots of work to do.,I dont' deserve a break when I still got things to finish.,1,"Is continuously working without a break truly the most effective way to manage my responsibilities, or could it be diminishing my productivity and well-being over time? Might there be benefits to scheduling regular breaks that I'm overlooking?",0,Intentionally planning short breaks and time off could not only prevent burnout but also enhance my focus and efficiency in the long run. It's about finding a sustainable balance between work and rest.,0
Having work-life balance,13_work_life,I take only maybe a small fraction of a day to rest. There is too much going on and I feel like I don't have the time to stop and relax.,"It seems like every moment of my day needs to be filled with productivity to keep up with everything. The idea of taking substantial time to relax feels almost like a luxury I can't afford, lest I fall behind.",0,"Could this constant push for productivity actually be counterproductive, perhaps leading to diminished quality of work and increased stress? How might my performance and well-being improve with more balanced rest periods?",0,"Reevaluating my schedule to incorporate more meaningful rest could enhance my overall productivity and mental health. It might involve prioritizing tasks more effectively, setting clearer boundaries, or learning to be okay with taking necessary breaks for long-term sustainability.",0
Having work-life balance,13_work_life,The work life balance is horrible. I get no day off even on the weekends and that is really bothering me.,"It's like, no matter what, there's always work piling up. It's just non-stop, and it's realistically impossible to find any time to rest.",0,"Is it really impossible to find some downtime, or am I just stuck in this cycle because that's how it's always been? What would happen if I actually scheduled a break for myself?",0,What if I get fired? I need to work harder.,1
Showing up for appointments and obligations,14_show_up,"To be honest, I miss a lot of my appointments. Sometimes when I start doing something, I lose track of time and forget about other plans.","I get so caught up in whatever I'm doing that everything else just fades away. It's like, once I'm in the zone, I totally blank on anything else I had lined up.",0,"Could there be a better way to keep track of things? Like, maybe I'm not using reminders effectively, or I could be underestimating how much time tasks actually take.",0,"Maybe setting up more alerts on my phone or using a planner could help keep me on track. And it might be worth trying to give myself a little buffer between tasks, so if I do get carried away, I've got some wiggle room.",0
Showing up for appointments and obligations,14_show_up,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.","It's like, the moment I know I have to be somewhere or do something at a certain time, I just want to bail. I don't know, it feels like being trapped or something, and I end up avoiding it altogether.",0,"Is it the commitment itself that's bugging me, or is it more about how I'm looking at these obligations? Maybe there's a way to view them differently, so they don't feel so constricting.",0,Perhaps I could start seeing these appointments as opportunities or even small wins in my day. And working on planning things in a way that feels more flexible might help me not want to dodge them so much.,0
Showing up for appointments and obligations,14_show_up,"I often miss my appointments. The idea of having an obligation to do something at a specific time just bothers me, and so I  run away from it.","It's like, the moment I know I have to be somewhere or do something at a certain time, I just want to bail. I don't know, it feels like being trapped or something, and I end up avoiding it altogether.",0,"Is it the commitment itself that's bugging me, or is it more about how I'm looking at these obligations? Maybe there's a way to view them differently, so they don't feel so constricting.",0,I can just make less appointments. This way I avoid it from the beginning.,1
Showing up for appointments and obligations,14_show_up,I can't show up or do every obligation. I feel like everything urges me at the same time and I just have too much going on.,"It's like, everywhere I turn, there's something else demanding my attention. It feels like I'm being pulled in a million directions. It's overwhelming, and I end up dropping the ball because it's just too much.",0,"Is it really that everything is urgent, or am I having a hard time setting priorities? Maybe there's a way to sort through all this stuff and figure out what needs my focus first.",0,"Taking a step back and laying everything out might help. Like, if I can see what's on my plate and decide what's really urgent and what can wait, maybe things won't feel so chaotic. ",0
Managing finance and items of value,15_finance,I feel likely I might be spending to much lately. Rent is crazy and there are too many things that I feel are necessary to buy.,"It just seems like my money's flying out the window these days. Between the sky-high rent and all these things I think I gotta have, my wallet's taking a hit. It's like, how do I even keep up?",1,"Is everything I'm buying really a must-have, or could I be mixing up wants with needs? Maybe there's a way to dial it back a bit without feeling like I'm missing out.",0,Taking a closer look at where my cash is going could be helpful. Maybe setting a budget for those necessary buys could help keep things in check. ,0
Managing finance and items of value,15_finance,"I am spending a lot, probably more than I have too. I often lose track of how much I spend even when I don't buy really expensive stuff.","Even without big purchases, my spending just seems to spiral. Keeping track on where my money goes feels overwhelming, and I always thought buying small things isn't a big deal.",0,Am I really paying attention to all those smaller expenses? Maybe they're piling up more than I realize. Could keeping a closer eye on these help me get a handle on my spending?,0,"Tracking every expense, big or small, could show where I can cut back. Setting a budget for different categories of spending might help me control where my money is going without having to drastically change my lifestyle.",0
Managing finance and items of value,15_finance,"I almost buy nothing and I thinks its problematic now. I only buy things when I think its necessary, but I've had many times when I regret not getting something that I actually needed.","I'm so cautious with my spending that I often pass up things I need, telling myself they're not essential. Then, I end up in situations where I regret not making the purchase.",0,"Could my strict rules on what's necessary be too rigid, leading me to miss out on things that could genuinely improve my life or solve a problem?",0,"Maybe I need to redefine what necessary means to me, allowing a bit more flexibility.",0
Getting adequate nutrition,16_nutrition,I am not eating healthy at all. I hate to eat vegetables. The taste of it is just unbearable for me.,"I just can't stand veggies, and that makes eating healthy seem impossible. Every time I try, the taste just turns me off completely.",0,"Is it all vegetables I dislike, or have I just not found the right ones or the right ways to prepare them? Could there be recipes out there that make them more palatable?",0,Maybe I could experiment with different cooking methods or recipes that disguise or enhance the taste of vegetables. ,0
Getting adequate nutrition,16_nutrition,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,I'm stuck eating out because I'm short on time and cooking skills.,0,"Could there be quicker, healthier meal options that I haven't explored yet? Maybe I'm overestimating the time and skill needed to prepare something nutritious.",0,"Exploring simple, healthy recipes that require minimal time and skill could be the solution. There might also be healthier takeout options that I haven't considered yet, which could help balance convenience with nutrition.",0
Getting adequate nutrition,16_nutrition,I definitely need to eat more healthy and nutritious stuff. I don't have much time or skills to cook. That's why I eat outside a lot and most of the foods are oily and calorie.,I'm stuck eating out because I'm short on time and cooking skills.,0,"Could there be quicker, healthier meal options that I haven't explored yet? Maybe I'm overestimating the time and skill needed to prepare something nutritious.",0,Learning how to cook healthy meal takes too much effort. I can hold on for a few years eating unhealthy food because I'm still young.,1
